IDNUMBER	SALARY	LOGSAL	EDUC	SALBEGIN	LOGSALBEGIN	GENDER	MINORITY	JOBCAT
41	23550	10.0668810994	12	11550	9.35444071595	0	1	1
42	35100	10.4659564095	15	16500	9.71111565989	1	0	1
43	23250	10.054060411	12	14250	9.5645121857	1	0	1
44	29250	10.2836348527	8	14250	9.5645121857	1	0	1
45	30750	10.3336452732	12	13500	9.51044496443	1	0	2
46	22350	10.0145816	15	12750	9.45328655059	0	0	1
47	30000	10.3089526606	12	16500	9.71111565989	0	0	1
48	30750	10.3336452732	12	14100	9.55393007637	1	0	2
49	34800	10.4573726658	15	16500	9.71111565989	1	0	1
50	60000	11.0020998412	16	23730	10.0744953494	1	0	3
51	35550	10.4786954352	12	15000	9.61580548008	1	0	1
52	45150	10.7177455588	15	15000	9.61580548008	1	0	1
53	73750	11.2084362742	18	26250	10.175421268	1	0	3
54	25050	10.1286291065	12	13500	9.51044496443	1	0	1
55	27000	10.203592145	12	15000	9.61580548008	1	0	1
56	26850	10.1980210999	15	13500	9.51044496443	1	0	1
57	33900	10.4311702934	15	15750	9.66459564425	1	0	1
58	26400	10.1811192891	15	13500	9.51044496443	0	0	1
59	28050	10.241743911	15	14250	9.5645121857	1	1	1
60	30900	10.3385114629	12	15000	9.61580548008	1	1	1
61	22500	10.0212705882	8	9750	9.18502256399	1	1	1
62	48000	10.7789562899	16	21750	9.98736903652	1	0	3
63	55000	10.9150884642	17	26250	10.175421268	1	0	3
64	53125	10.8804029062	16	21000	9.95227771671	1	0	3
65	21900	9.9942419158	8	14550	9.5853462726	1	0	1
66	78125	11.266065387	19	30000	10.3089526606	1	0	3
67	46000	10.7363966755	16	21240	9.96364147536	1	0	3
68	45250	10.7199579491	16	21480	9.97487754862	1	0	3
69	56550	10.9428804815	16	25000	10.1266311039	1	0	3
70	41100	10.6237634005	15	20250	9.91591007253	1	0	1
71	82500	11.3205535723	17	34980	10.4625317486	1	0	3
72	54000	10.8967393255	16	18000	9.79812703688	0	0	1
73	26400	10.1811192891	12	10500	9.25913053615	0	0	1
74	33900	10.4311702934	15	19500	9.87816974455	0	0	1
75	24150	10.0920396591	15	11550	9.35444071595	0	0	1
76	29250	10.2836348527	15	11550	9.35444071595	0	0	1
77	27600	10.2255710517	12	11400	9.34136863438	0	0	1
78	22950	10.0410732155	12	10500	9.25913053615	0	0	1
79	34800	10.4573726658	16	14550	9.5853462726	0	0	1
80	51000	10.8395809117	16	18000	9.79812703688	0	0	1
81	24300	10.0982316293	12	10950	9.30109473524	0	0	1
82	24750	10.116580768	12	14250	9.5645121857	0	1	1
83	22950	10.0410732155	12	11250	9.32812340763	0	1	1
84	25050	10.1286291065	8	10950	9.30109473524	0	1	1
85	25950	10.1639268886	15	17100	9.74683374249	1	0	1
86	31650	10.3624934276	15	15750	9.66459564425	1	0	1
87	24150	10.0920396591	12	14100	9.55393007637	1	0	1
88	72500	11.1913418408	19	28740	10.2660451596	1	0	3
89	68750	11.1382320155	19	27480	10.2212137463	1	0	3
90	16200	9.69276652122	8	9750	9.18502256399	0	0	1
91	20100	9.90847509405	12	11250	9.32812340763	0	0	1
92	24000	10.0858091093	8	10950	9.30109473524	0	0	1
93	25950	10.1639268886	12	10950	9.30109473524	0	0	1
94	24600	10.1105017219	12	10050	9.21532791349	0	0	1
95	28500	10.2576593663	12	10500	9.25913053615	0	0	1
96	30750	10.3336452732	8	15000	9.61580548008	1	1	2
97	40200	10.6016222746	17	19500	9.87816974455	1	1	1
98	30000	10.3089526606	8	15000	9.61580548008	1	1	2
99	22050	10.0010678809	12	10950	9.30109473524	0	1	1
100	78250	11.2676641084	18	27480	10.2212137463	1	0	3
101	60625	11.0124626282	16	22500	10.0212705882	1	0	3
102	39900	10.5941316029	14	15750	9.66459564425	1	0	1
103	97000	11.4824662575	19	35010	10.4633890139	1	0	3
104	27450	10.2201214469	15	15750	9.66459564425	1	0	1
105	31650	10.3624934276	15	13500	9.51044496443	1	0	1
106	91250	11.4213582714	19	29490	10.2918065018	1	0	3
107	25200	10.1345992735	12	14400	9.57498348556	0	0	1
108	21000	9.95227771671	12	11550	9.35444071595	0	0	1
109	30450	10.3238412731	12	15000	9.61580548008	1	1	1
110	28350	10.2523823092	15	18000	9.79812703688	1	1	1
111	30750	10.3336452732	12	9000	9.10497985632	1	1	2
112	30750	10.3336452732	12	15000	9.61580548008	1	1	2
113	54875	10.9128131504	16	27480	10.2212137463	1	0	3
114	37800	10.5400643816	14	16500	9.71111565989	1	0	1
115	33450	10.4178070656	15	14100	9.55393007637	1	0	1
116	30300	10.3189029915	15	16500	9.71111565989	1	0	1
117	31500	10.3577428248	12	18750	9.8389490314	0	0	1
118	31650	10.3624934276	12	14250	9.5645121857	0	0	1
119	25200	10.1345992735	12	14100	9.55393007637	0	0	1
120	37800	10.5400643816	16	15750	9.66459564425	0	0	3
121	18750	9.8389490314	15	10500	9.25913053615	0	0	1
122	32550	10.3905326476	15	13500	9.51044496443	0	0	1
123	33300	10.413312676	12	15000	9.61580548008	0	0	1
124	38550	10.559711379	16	16500	9.71111565989	0	0	1
125	27450	10.2201214469	12	15000	9.61580548008	1	1	1
126	24300	10.0982316293	15	15000	9.61580548008	1	1	2
127	30750	10.3336452732	12	15000	9.61580548008	1	1	2
128	19650	9.8858326173	12	9750	9.18502256399	0	1	1
129	68750	11.1382320155	17	27510	10.2223048539	1	0	3
130	59375	10.9916285413	20	30000	10.3089526606	1	0	3
131	31500	10.3577428248	15	15750	9.66459564425	1	0	1
132	27300	10.2146419812	12	17250	9.75556742246	1	0	1
133	27000	10.203592145	15	15750	9.66459564425	1	0	1
134	41550	10.6346528003	16	24990	10.1262310238	0	0	3
135	26250	10.175421268	12	10950	9.30109473524	0	0	1
136	22200	10.0078475679	12	15000	9.61580548008	1	0	1
137	65000	11.0821425489	21	37500	10.532096212	1	0	3
138	30900	10.3385114629	12	15000	9.61580548008	1	0	1
139	20100	9.90847509405	8	13200	9.48797210857	0	0	1
140	22350	10.0145816	12	13500	9.51044496443	0	0	1
141	35550	10.4786954352	15	13350	9.49927166383	0	0	1
142	28500	10.2576593663	12	13950	9.54323478725	0	0	1
143	24450	10.1043854949	12	13200	9.48797210857	0	0	1
144	16650	9.72016549541	8	9750	9.18502256399	0	0	1
145	26700	10.1924188444	12	13500	9.51044496443	1	1	1
146	43950	10.6908079031	18	23250	10.054060411	1	1	1
147	23700	10.0732303271	15	13500	9.51044496443	1	1	1
148	26550	10.1867850267	15	14250	9.5645121857	0	1	1
149	27600	10.2255710517	12	15000	9.61580548008	1	0	1
150	25800	10.1581297709	12	15000	9.61580548008	1	0	1
151	42300	10.652542365	16	26250	10.175421268	1	0	3
152	30750	10.3336452732	8	15000	9.61580548008	1	0	2
153	26700	10.1924188444	12	12900	9.46498259035	0	0	1
154	20850	9.94510922723	12	12000	9.39266192877	0	0	1
155	35250	10.4702208082	15	15000	9.61580548008	1	1	1
156	26700	10.1924188444	15	15000	9.61580548008	1	1	1
157	26550	10.1867850267	12	13050	9.47654341275	0	1	1
158	27750	10.2309911192	12	12000	9.39266192877	0	1	1
159	25050	10.1286291065	16	12750	9.45328655059	0	1	1
160	66000	11.097410021	16	47490	10.7682744415	1	0	3
161	52650	10.8714215176	16	19500	9.87816974455	1	0	1
162	45625	10.7282110909	16	23250	10.054060411	1	0	3
163	30900	10.3385114629	15	15000	9.61580548008	1	0	1
164	29400	10.2887499533	15	16500	9.71111565989	0	0	1
165	33300	10.413312676	15	13500	9.51044496443	0	0	1
166	21900	9.9942419158	12	9750	9.18502256399	0	0	1
167	18150	9.80642583969	12	9750	9.18502256399	0	0	1
168	46875	10.7552397633	16	17250	9.75556742246	0	0	3
169	25500	10.1464337311	12	14400	9.57498348556	1	1	1
170	26550	10.1867850267	12	15000	9.61580548008	1	1	1
171	26700	10.1924188444	12	13500	9.51044496443	1	1	1
172	29850	10.3039401188	15	15000	9.61580548008	0	1	1
173	69250	11.145478424	20	42480	10.6567886559	1	0	3
174	31950	10.3719274598	8	15000	9.61580548008	1	0	2
175	26250	10.175421268	8	15600	9.65502619324	1	0	1
176	35700	10.4829059678	16	17250	9.75556742246	0	0	1
177	28500	10.2576593663	12	16500	9.71111565989	0	0	1
178	17100	9.74683374249	12	10200	9.23014299927	0	0	1
179	25200	10.1345992735	12	13050	9.47654341275	1	1	1
180	24000	10.0858091093	12	12750	9.45328655059	0	1	1
181	27450	10.2201214469	12	10200	9.23014299927	0	1	1
182	18450	9.82281964947	12	10200	9.23014299927	0	1	1
183	39300	10.5789797979	15	15750	9.66459564425	1	0	1
184	38850	10.5674633558	15	15000	9.61580548008	1	0	1
185	30750	10.3336452732	8	15000	9.61580548008	1	0	2
186	37500	10.532096212	15	20400	9.92329017983	1	0	1
187	58750	10.981046432	16	21750	9.98736903652	1	0	3
188	34500	10.448714603	12	18750	9.8389490314	0	0	1
189	36000	10.4912742174	12	19980	9.9024870522	0	0	1
190	29100	10.2784934532	8	16500	9.71111565989	0	0	1
191	16500	9.71111565989	12	10200	9.23014299927	0	0	1
192	19650	9.8858326173	12	12750	9.45328655059	1	1	1
193	24750	10.116580768	12	12000	9.39266192877	0	1	1
194	27150	10.2091323254	15	15750	9.66459564425	0	1	1
195	26400	10.1811192891	12	12750	9.45328655059	0	1	1
196	23100	10.0475878965	16	12000	9.39266192877	0	1	1
197	54900	10.9132686275	15	25500	10.1464337311	1	0	3
198	70875	11.168673041	19	43500	10.6805162171	1	0	3
199	51250	10.844470897	16	27480	10.2212137463	1	0	3
200	67500	11.1198828769	17	34980	10.4625317486	1	0	3
201	29340	10.2867070517	12	19500	9.87816974455	1	0	1
202	39600	10.5865843972	15	16500	9.71111565989	1	0	1
203	29100	10.2784934532	12	15000	9.61580548008	1	0	1
204	33150	10.4087979956	15	16500	9.71111565989	1	0	1
205	66750	11.1087095763	16	52500	10.8685684486	1	0	3
206	33750	10.4267356963	12	15000	9.61580548008	1	0	2
207	27300	10.2146419812	15	17250	9.75556742246	1	0	1
208	24000	10.0858091093	12	11250	9.32812340763	0	0	1
209	19800	9.89343721668	8	10200	9.23014299927	0	0	1
210	30600	10.3287552879	15	16500	9.71111565989	1	1	1
211	28950	10.273325483	15	15000	9.61580548008	1	1	1
212	38400	10.5558127386	15	16500	9.71111565989	1	1	1
213	30750	10.3336452732	8	15000	9.61580548008	1	1	2
214	20400	9.92329017983	12	10950	9.30109473524	0	1	1
215	19200	9.86266555802	12	11100	9.3147003873	0	1	1
216	30150	10.3139402022	15	15750	9.66459564425	1	0	1
217	34620	10.4521868287	16	27750	10.2309911192	1	0	1
218	80000	11.2897819137	15	15750	9.66459564425	1	0	1
219	25350	10.140534009	12	15000	9.61580548008	1	0	1
220	29850	10.3039401188	12	15750	9.66459564425	1	0	1
221	24000	10.0858091093	12	13800	9.53242387115	0	0	1
222	27750	10.2309911192	15	19500	9.87816974455	0	0	1
223	22350	10.0145816	8	10200	9.23014299927	0	0	1
224	16200	9.69276652122	12	10200	9.23014299927	0	0	1
225	21900	9.9942419158	15	12750	9.45328655059	0	0	1
226	23250	10.054060411	16	15750	9.66459564425	0	0	1
227	33900	10.4311702934	12	12000	9.39266192877	0	0	1
228	25650	10.1522988506	15	14250	9.5645121857	0	0	1
229	17250	9.75556742246	12	10200	9.23014299927	0	0	1
230	22500	10.0212705882	15	15000	9.61580548008	1	1	1
231	40200	10.6016222746	16	21000	9.95227771671	1	0	3
232	55500	10.9241382997	19	33750	10.4267356963	1	0	3
233	26550	10.1867850267	15	15000	9.61580548008	1	0	1
234	50550	10.8307182244	15	19500	9.87816974455	1	0	1
235	75000	11.2252433925	19	31500	10.3577428248	1	0	3
236	27450	10.2201214469	8	12000	9.39266192877	0	0	1
237	22650	10.0279151309	12	11250	9.32812340763	0	0	1
238	27300	10.2146419812	12	11250	9.32812340763	0	0	1
239	27750	10.2309911192	12	11225	9.32589871261	0	0	1
240	54375	10.9036597684	16	18750	9.8389490314	0	0	3
241	17400	9.7642254852	8	10200	9.23014299927	0	0	1
242	40800	10.6164373604	12	18000	9.79812703688	0	0	1
243	23100	10.0475878965	12	10950	9.30109473524	0	0	1
244	22500	10.0212705882	8	10950	9.30109473524	0	0	1
245	26700	10.1924188444	12	11550	9.35444071595	0	0	1
246	24900	10.1226230825	12	11250	9.32812340763	0	0	1
247	19650	9.8858326173	12	10950	9.30109473524	0	0	1
248	22050	10.0010678809	12	10950	9.30109473524	0	0	1
249	25500	10.1464337311	12	12000	9.39266192877	0	0	1
250	28200	10.2470772569	15	12750	9.45328655059	0	0	1
251	23100	10.0475878965	12	11250	9.32812340763	0	0	1
252	25500	10.1464337311	12	11400	9.34136863438	1	1	1
253	17100	9.74683374249	8	10200	9.23014299927	0	1	1
254	68125	11.129099532	18	32490	10.3886876287	1	0	3
255	30600	10.3287552879	12	15750	9.66459564425	1	0	2
256	52125	10.8613999591	19	27480	10.2212137463	1	0	3
257	61875	11.0328714999	19	36750	10.5118935046	1	0	3
258	21300	9.9664623517	8	11550	9.35444071595	1	0	1
259	19650	9.8858326173	12	11250	9.32812340763	0	0	1
260	22350	10.0145816	12	11250	9.32812340763	0	0	1
261	23400	10.0604913013	12	11250	9.32812340763	0	0	1
262	24300	10.0982316293	12	10950	9.30109473524	0	0	1
263	28500	10.2576593663	12	11250	9.32812340763	0	0	1
264	19950	9.90098442232	12	11250	9.32812340763	0	0	1
265	23400	10.0604913013	12	11250	9.32812340763	0	0	1
266	34500	10.448714603	16	17250	9.75556742246	0	0	1
267	18150	9.80642583969	12	10950	9.30109473524	0	0	1
268	22350	10.0145816	12	15000	9.61580548008	1	1	1
269	40200	10.6016222746	15	17250	9.75556742246	1	0	1
270	28650	10.2629087221	15	18000	9.79812703688	1	0	1
271	27750	10.2309911192	15	16500	9.71111565989	1	0	1
272	66875	11.1105804842	18	31980	10.3728659864	1	0	1
273	30000	10.3089526606	12	15750	9.66459564425	1	0	2
274	83750	11.3355914497	16	21750	9.98736903652	1	0	3
275	33900	10.4311702934	12	16500	9.71111565989	1	0	1
276	56500	10.9419959171	16	21000	9.95227771671	1	0	3
277	43000	10.6689553947	16	17490	9.76938456801	0	0	3
278	20850	9.94510922723	8	12000	9.39266192877	0	0	1
279	24450	10.1043854949	12	12000	9.39266192877	0	0	1
280	24750	10.116580768	12	10950	9.30109473524	0	0	1
281	34500	10.448714603	8	15750	9.66459564425	1	1	2
282	27900	10.2363819678	14	15000	9.61580548008	1	1	1
283	68125	11.129099532	19	32010	10.373803633	1	0	3
284	73500	11.2050406852	19	33000	10.4042628404	1	0	3
285	30750	10.3336452732	8	15750	9.66459564425	1	0	2
286	40050	10.5978839525	15	25500	10.1464337311	1	0	3
287	40350	10.6053466737	16	19500	9.87816974455	1	0	1
288	38700	10.563594879	15	23730	10.0744953494	1	0	3
289	65000	11.0821425489	17	30750	10.3336452732	1	0	3
290	51450	10.8483657413	18	36240	10.4979187602	1	0	3
291	35250	10.4702208082	12	15750	9.66459564425	1	0	2
292	25950	10.1639268886	14	15000	9.61580548008	1	0	1
293	25050	10.1286291065	15	14250	9.5645121857	1	0	1
294	26700	10.1924188444	12	12750	9.45328655059	1	0	1
295	24000	10.0858091093	8	15750	9.66459564425	1	0	1
296	26850	10.1980210999	12	15000	9.61580548008	1	0	1
297	23400	10.0604913013	12	15300	9.63560810738	0	0	1
298	24600	10.1105017219	12	13500	9.51044496443	0	0	1
299	32550	10.3905326476	15	18000	9.79812703688	0	0	1
300	26550	10.1867850267	16	15000	9.61580548008	1	1	1
301	31500	10.3577428248	12	13500	9.51044496443	1	1	1
302	22350	10.0145816	8	15000	9.61580548008	1	1	1
303	35250	10.4702208082	12	15750	9.66459564425	1	1	2
304	25800	10.1581297709	15	13500	9.51044496443	0	1	1
305	30750	10.3336452732	12	15750	9.66459564425	1	0	2
306	30750	10.3336452732	15	16500	9.71111565989	1	0	1
307	50000	10.8197782844	16	32490	10.3886876287	1	0	3
308	34500	10.448714603	15	18000	9.79812703688	1	0	1
309	26250	10.175421268	15	15750	9.66459564425	1	0	1
310	44875	10.7116361258	16	21240	9.96364147536	1	0	1
311	22500	10.0212705882	12	12000	9.39266192877	0	0	1
312	25650	10.1522988506	12	14250	9.5645121857	0	0	1
313	21300	9.9664623517	12	11250	9.32812340763	0	0	1
314	29850	10.3039401188	12	13500	9.51044496443	0	0	1
315	34500	10.448714603	12	12150	9.40508444877	0	0	1
316	27750	10.2309911192	15	15000	9.61580548008	1	1	1
317	27750	10.2309911192	12	11550	9.35444071595	1	1	1
318	48750	10.7944604764	16	21990	9.99834308355	1	0	3
319	43410	10.6784451083	15	15750	9.66459564425	1	0	1
320	22050	10.0010678809	12	15000	9.61580548008	1	0	1
321	22050	10.0010678809	12	12000	9.39266192877	0	0	1
322	22500	10.0212705882	12	14250	9.5645121857	0	0	1
323	25500	10.1464337311	15	12000	9.39266192877	0	0	1
324	29160	10.2805531861	12	15000	9.61580548008	0	0	1
325	16800	9.72913416539	8	10200	9.23014299927	0	0	1
326	29550	10.2938390228	8	15750	9.66459564425	1	1	2
327	26700	10.1924188444	12	15750	9.66459564425	1	1	1
328	55000	10.9150884642	18	32490	10.3886876287	1	0	3
329	62500	11.0429218357	18	34980	10.4625317486	1	0	3
330	27300	10.2146419812	15	17250	9.75556742246	1	0	1
331	24450	10.1043854949	12	12000	9.39266192877	0	0	1
332	33000	10.4042628404	16	18000	9.79812703688	0	0	1
333	37050	10.5200236307	15	18000	9.79812703688	0	0	1
334	24450	10.1043854949	12	10950	9.30109473524	0	1	1
335	31950	10.3719274598	8	15750	9.66459564425	1	0	2
336	47250	10.7632079329	16	21240	9.96364147536	1	0	3
337	26100	10.1696905933	12	11550	9.35444071595	0	0	1
338	15900	9.67407438821	8	10200	9.23014299927	0	0	1
339	23700	10.0732303271	8	10650	9.27331517114	0	0	1
340	21750	9.98736903652	8	12450	9.42947590189	0	0	1
341	59400	10.9920495054	12	33750	10.4267356963	1	1	3
342	24450	10.1043854949	12	14250	9.5645121857	0	1	1
343	103500	11.5473268917	16	60000	11.0020998412	1	0	3
344	35700	10.4829059678	12	16500	9.71111565989	1	0	1
345	22200	10.0078475679	12	16500	9.71111565989	0	0	1
346	22950	10.0410732155	15	13950	9.54323478725	0	0	1
347	23100	10.0475878965	12	12000	9.39266192877	0	0	1
348	56750	10.9464109353	16	30000	10.3089526606	0	0	3
349	29100	10.2784934532	17	12750	9.45328655059	0	0	1
350	37650	10.5360882332	12	15750	9.66459564425	0	0	1
351	27900	10.2363819678	12	13500	9.51044496443	0	0	1
352	21150	9.95939518447	8	12000	9.39266192877	0	0	1
353	31200	10.3481733738	12	15750	9.66459564425	1	1	2
354	20550	9.93061621992	12	11250	9.32812340763	0	1	1
355	25950	10.1639268886	15	17250	9.75556742246	1	0	1
356	28350	10.2523823092	15	15000	9.61580548008	1	0	1
357	17700	9.78131991856	8	10200	9.23014299927	0	0	1
358	23550	10.0668810994	15	13500	9.51044496443	0	0	1
359	19950	9.90098442232	12	10200	9.23014299927	0	0	1
360	29400	10.2887499533	12	15300	9.63560810738	0	0	1
361	28800	10.2681306661	12	13950	9.54323478725	0	0	1
362	16950	9.73802311281	8	10200	9.23014299927	0	0	1
363	35700	10.4829059678	16	18000	9.79812703688	1	1	1
364	17400	9.7642254852	12	10200	9.23014299927	0	1	1
365	21450	9.97347992436	8	10200	9.23014299927	0	1	1
366	24750	10.116580768	12	12000	9.39266192877	0	1	1
367	16950	9.73802311281	12	10200	9.23014299927	0	1	1
368	26100	10.1696905933	12	13500	9.51044496443	0	1	1
369	28050	10.241743911	14	15000	9.61580548008	1	0	1
370	36600	10.5078035194	16	18000	9.79812703688	0	0	1
371	58125	10.9703511429	16	18000	9.79812703688	0	0	3
372	21300	9.9664623517	15	15750	9.66459564425	1	0	1
373	22500	10.0212705882	12	16500	9.71111565989	1	0	1
374	29400	10.2887499533	15	15750	9.66459564425	1	0	1
375	27450	10.2201214469	12	14700	9.59560277277	1	0	1
376	29850	10.3039401188	15	15750	9.66459564425	1	0	1
377	25350	10.140534009	15	15750	9.66459564425	1	0	1
378	15750	9.66459564425	8	10200	9.23014299927	0	0	1
379	19650	9.8858326173	8	13050	9.47654341275	0	0	1
380	21000	9.95227771671	12	13500	9.51044496443	0	0	1
381	27000	10.203592145	17	18000	9.79812703688	1	1	1
382	24000	10.0858091093	12	15750	9.66459564425	1	1	1
383	78500	11.2708539038	17	28740	10.2660451596	1	1	3
384	20850	9.94510922723	12	13050	9.47654341275	0	1	1
385	30000	10.3089526606	12	15750	9.66459564425	1	0	2
386	28500	10.2576593663	8	15750	9.66459564425	1	0	2
387	65000	11.0821425489	19	31980	10.3728659864	1	0	3
388	30150	10.3139402022	14	16500	9.71111565989	1	0	1
389	66875	11.1105804842	19	32490	10.3886876287	1	0	3
390	24150	10.0920396591	15	13500	9.51044496443	0	0	1
391	24450	10.1043854949	12	12450	9.42947590189	0	0	1
392	21600	9.98044859367	12	12000	9.39266192877	0	0	1
393	27900	10.2363819678	12	12450	9.42947590189	0	0	1
394	29100	10.2784934532	8	12450	9.42947590189	0	0	1
395	22650	10.0279151309	12	11250	9.32812340763	0	0	1
396	20850	9.94510922723	12	11250	9.32812340763	0	0	1
397	22950	10.0410732155	12	12300	9.41735454136	0	0	1
398	30600	10.3287552879	12	12450	9.42947590189	0	0	1
399	20400	9.92329017983	12	11250	9.32812340763	0	0	1
400	23850	10.0795394963	12	12750	9.45328655059	0	0	1
401	22800	10.0345158149	12	11250	9.32812340763	0	0	1
402	20700	9.93788897925	12	11250	9.32812340763	0	0	1
403	21300	9.9664623517	12	11250	9.32812340763	0	1	1
404	24300	10.0982316293	12	15000	9.61580548008	0	1	1
405	19650	9.8858326173	12	13950	9.54323478725	0	1	1
406	60000	11.0020998412	17	32490	10.3886876287	1	0	3
407	30300	10.3189029915	15	15750	9.66459564425	1	0	1
408	61250	11.0227191284	19	33000	10.4042628404	1	0	3
409	36000	10.4912742174	19	19500	9.87816974455	1	0	1
410	25200	10.1345992735	8	18750	9.8389490314	0	0	1
411	16200	9.69276652122	12	10200	9.23014299927	0	0	1
412	22800	10.0345158149	12	11250	9.32812340763	0	0	1
413	43500	10.6805162171	16	19500	9.87816974455	0	0	3
414	30300	10.3189029915	8	15750	9.66459564425	1	1	2
415	31950	10.3719274598	15	15750	9.66459564425	1	1	1
416	35250	10.4702208082	15	13500	9.51044496443	1	0	1
417	37800	10.5400643816	15	15000	9.61580548008	1	0	1
418	31200	10.3481733738	15	15750	9.66459564425	1	0	1
419	29400	10.2887499533	15	16500	9.71111565989	1	0	1
420	70000	11.156250521	19	35040	10.4642455451	1	0	3
421	33900	10.4311702934	15	15750	9.66459564425	1	0	1
422	27150	10.2091323254	15	16500	9.71111565989	1	0	1
423	22200	10.0078475679	12	13800	9.53242387115	0	0	1
424	31350	10.3529695461	15	11100	9.3147003873	0	0	1
425	20850	9.94510922723	12	13500	9.51044496443	0	0	1
426	33300	10.413312676	16	17490	9.76938456801	1	1	1
427	26250	10.175421268	8	16050	9.68346412856	1	1	1
428	31950	10.3719274598	15	15750	9.66459564425	1	1	1
429	30000	10.3089526606	8	15750	9.66459564425	1	1	2
430	66250	11.1011907438	19	34980	10.4625317486	1	1	3
431	86250	11.3650053349	18	45000	10.7144177688	1	0	3
432	30750	10.3336452732	12	15000	9.61580548008	1	0	1
433	33540	10.4204940354	12	15750	9.66459564425	1	0	1
434	34950	10.4616737477	16	20250	9.91591007253	1	0	1
435	40350	10.6053466737	15	16500	9.71111565989	1	0	1
436	30270	10.317912402	12	15750	9.66459564425	1	0	1
437	26250	10.175421268	8	16050	9.68346412856	1	0	1
438	32400	10.3859137018	15	15000	9.61580548008	1	0	1
439	20400	9.92329017983	12	11250	9.32812340763	0	0	1
440	24150	10.0920396591	8	12750	9.45328655059	0	0	1
441	23850	10.0795394963	15	13500	9.51044496443	0	0	1
442	29700	10.2989023248	12	13500	9.51044496443	0	0	1
443	21600	9.98044859367	8	13500	9.51044496443	0	0	1
444	24450	10.1043854949	12	15750	9.66459564425	0	0	1
445	28050	10.241743911	15	16500	9.71111565989	1	1	1
446	100000	11.512925465	16	44100	10.6942150614	1	1	3
447	49000	10.7995755771	15	20550	9.93061621992	1	1	1
448	16350	9.70198317633	12	10200	9.23014299927	0	1	1
449	70000	11.156250521	16	21750	9.98736903652	1	0	3
450	55000	10.9150884642	19	34980	10.4625317486	1	0	3
451	28500	10.2576593663	15	14250	9.5645121857	1	0	1
452	28800	10.2681306661	12	18000	9.79812703688	1	0	1
453	24450	10.1043854949	15	15750	9.66459564425	1	0	1
454	90625	11.4144853922	19	31250	10.3497746552	1	0	3
455	43650	10.6839585613	16	19500	9.87816974455	1	0	3
456	75000	11.2252433925	19	42510	10.6574946214	1	0	3
457	31650	10.3624934276	15	14250	9.5645121857	1	0	1
458	61875	11.0328714999	19	28740	10.2660451596	1	0	3
459	21750	9.98736903652	12	11250	9.32812340763	0	0	1
460	22500	10.0212705882	12	12750	9.45328655059	0	0	1
461	21600	9.98044859367	8	13500	9.51044496443	0	0	1
462	34410	10.4461024988	16	19500	9.87816974455	0	0	3
463	20700	9.93788897925	15	14250	9.5645121857	0	0	1
464	47550	10.769537068	19	33000	10.4042628404	1	0	3
